created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-01 00:29:28+00:00,"RT @airnewsalerts: Indian envoy to #Iran Gaddam Dharmendra says, authorities are working to facilitate the return of #Indians who wish to g…",ku_lko,lucknow india,(KRISHNENDRA UDYOG) कृष्णेन्द्र उद्योग,154,278,17926,False,"Indian envoy to #Iran Gaddam Dharmendra says, authorities are working to facilitate the return of #Indians who wish to go back home in the wake of the #coronavirus outbreak. https://t.co/6IQbPDNeRP"
2020-03-01 00:29:30+00:00,RT @spectatorindex: BREAKING: Governor of Washington State declares state of emergency over coronavirus,dtytrivedi,india,I love to discuss about the present Politics of India. Views expressed are personal. Retweets are not endorsements,531,4106,87714,False,BREAKING: Governor of Washington State declares state of emergency over coronavirus
2020-03-01 00:30:00+00:00,"Report: Japan sporting events at empty stadiums amid virus outbreak.

https://t.co/uhWH6bbh8x",TimesNow,india,"TIMES NOW is India’s most watched English news channel. Follow for lightning fast #BreakingNews and #Alerts.

We're on Telegram: https://t.co/T7TNOI7cXV",9637674,393,541447,True,
2020-03-01 00:30:03+00:00,LG Display halts work at phone screen factory after coronavirus infection https://t.co/ZZnduUv7h0 https://t.co/zocE0e20iG,Ashish__Bhalla,noida india,"Recruitment Lead for USA & India Staffing for Software, Business & Infrastructure division for  HCL Technologies Ltd (@hcltech) #HumanResources  #Technology",296,1644,24045,False,
2020-03-01 00:30:20+00:00,RT @BBCNews: Coronavirus: Nasa images show China pollution clear amid slowdown https://t.co/QguTq0uUAx,rishabhh17,new delhi india,Porqué este mundo no lo entiendo,8,62,256,False,Coronavirus: Nasa images show China pollution clear amid slowdown https://t.co/QguTq0uUAx
2020-03-01 00:48:47+00:00,RT @sakshijoshii: Is anyone serious about this! #CoronaVirus,TheUjjwal_Gupta,new delhi india,"Indian 🇮🇳

Bihari , Student",486,536,18260,False,Is anyone serious about this! #CoronaVirus https://t.co/o9qCAnLzfY
2020-03-01 00:49:04+00:00,"RT @ani_digital: US announces additional travel restrictions affecting Iran, Italy, South Korea to contain coronavirus

Read @ANI story | h…",ku_lko,lucknow india,(KRISHNENDRA UDYOG) कृष्णेन्द्र उद्योग,154,278,17926,False,"US announces additional travel restrictions affecting Iran, Italy, South Korea to contain coronavirus

Read @ANI story | https://t.co/BHO7giW3oA https://t.co/kMX3LRfv25"
2020-03-01 00:49:25+00:00,112 Wuhan evacuees housed in the ITBP quarantine facility test negative for coronavirus https://t.co/yb8CK5szoO https://t.co/8FKsTGE3aq,WaYs2rOcK,new delhi india,Raj Gaur,44,57,41654,False,
2020-03-01 00:49:28+00:00,"RT @CNNnews18: #CoronavirusOutbreak | Having previously recommended that people avoid shaking hands, the minister said they should also cut…",Muthukumar2802,coimbatore india,civil engineer,851,1514,99455,False,"#CoronavirusOutbreak | Having previously recommended that people avoid shaking hands, the minister said they should also cut back on la bise, the custom in France and elsewhere in Europe of giving greetings with kisses, or air kisses, on the cheeks.

https://t.co/Az6Wxoerk9"
2020-03-01 00:49:48+00:00,RT @atrupar: Fox News just interviewed a Pennsylvania man who went through the coronavirus quarantine process -- but he couldn't stop cough…,ashwin2174,tamil nadu india,,5,85,2477,False,Fox News just interviewed a Pennsylvania man who went through the coronavirus quarantine process -- but he couldn't stop coughing during the interview 😳 https://t.co/kzoIYQM8x6
2020-03-01 00:50:03+00:00,RT @spectatorindex: BREAKING: First case of coronavirus in Ireland,TheBrownFox_IN,india,"I'm here to serve.
Jai Hind 🇮🇳",171,393,2080,False,BREAKING: First case of coronavirus in Ireland
2020-03-01 00:50:11+00:00,"@BernieSanders The Cuban revolution, the Soviet Union and Hugo Chavez have killed more people than Coronavirus",ernex1984,mahindra world city india,,1496,1426,862,False,
2020-03-01 00:50:12+00:00,RT @BNODesk: BREAKING: Washington state reports first U.S. death from coronavirus  https://t.co/eUoE2b20hL,sachanuj,new delhi india,"Nammo Buddhay 🙂
कर्म के फल से कोई नहीं बच सकता है।",375,678,38103,False,BREAKING: Washington state reports first U.S. death from coronavirus  https://t.co/eUoE2b20hL
2020-03-01 00:50:36+00:00,RT @realDonaldTrump: I will be having a 1:30 P.M. Press Conference at the White House to discuss the latest CoronaVirus developments. Thank…,SwarajGarvit,rohtak india,"We never know our limit, if we quit overselves. Want it How I Want It!!",436,1935,15249,False,I will be having a 1:30 P.M. Press Conference at the White House to discuss the latest CoronaVirus developments. Thank you!
